FOX_2017_09_21.txt/A3F7GUAEGUGAW1, Male, 25, IN, 3, Yes, Democratic

FOX_2017_09_21.txt/A3NWB7MZLQP0TK, Female, 52, WI, 7, Yes, Democratic

FOX_2017_09_22.txt/A1SKNYIVNDZ98Y, default, 28, OR, 3, Yes, Independent

FOX_2017_09_22.txt/A200H4TX468LE, Female, 41, OH, 5, Yes, Republican

FOX_2017_09_22.txt/A1OK757V9JDQHB, Female, 24, PA, 7, No, Independent

FOX_2017_09_22.txt/A2Y1ORULU9ITOH, Female, 48, CT, 7, Yes, Democratic

FOX_2017_09_22.txt/A2V8LLZRTOP79S, Female, 25, DE, 4, Yes, Independent

FOX_2017_09_25.txt/AVC955GXM8VUY, default, default, default, default, default, default

FOX_2017_09_25.txt/ATQD23E8ESFSI, Male, 36, LA, 7, Yes, Independent

FOX_2017_09_25.txt/A3TAW1SSZN1YX5, Female, 39, WA, 2, Yes, Democratic

FOX_2017_09_25.txt/A2OEBEBY1V0LQJ, Female, 27, CA, 5, Yes, Democratic

FOX_2017_09_25.txt/A2UVS1PDM9QM4Z, Female, 26, IN, 3, Yes, Green

ABC_2013_04_16.txt/A2XSD1WTLSVW1O, Male, 24, CA, 7, Yes, Democratic

ABC_2013_04_17.txt/AF0JQRC65CQGB, Female, 29, SC, 1, Yes, Independent

ABC_2013_04_17.txt/A2XD2SHHJR6WR6, Female, 37, CA, 1, Yes, Independent

ABC_2013_04_17.txt/A31BHRW6QKVBQ9, Male, 23, AR, 5, Yes, Independent

ABC_2013_04_17.txt/A2151LTQ3NA15U, Female, 22, UT, 2, Yes, Republican

ABC_2013_04_17.txt/ATQD23E8ESFSI, Male, 36, LA, 7, Yes, Independent

ABC_2013_04_18.txt/A2DG3J43DRG8ME, Female, 36, OH, 2, Yes, Independent

ABC_2013_04_18.txt/AZQ85CCQBEG0X, Female, 66, VA, 2, Yes, Independent

ABC_2013_04_18.txt/A55NIX2OSP9C, Female, 26, default, 3, No, Independent

ABC_2013_04_18.txt/A2QIZ31TMHU0GD, Male, 25, TX, 4, Yes, Democratic

ABC_2013_04_18.txt/A3B06XLY8OD1XN, Female, default, FL, 7, Yes, Democratic

ABC_2013_04_19.txt/A2V8LLZRTOP79S, Female, 25, CA, 5, Yes, Republican

ABC_2013_04_19.txt/A2CFQSHT1TCCRB, Female, 25, FL, 3, Yes, Constitution

ABC_2013_04_19.txt/A3GU00DMBON7YO, Female, 26, WA, 0, Yes, Democratic

ABC_2013_04_19.txt/A3SNSWMNXQEHAO, Female, 24, WA, 7, Yes, Democratic

ABC_2013_04_19.txt/A2OD4LJKPZDL2J, Male, 24, GA, 6, Yes, Democratic

ABC_2013_04_20.txt/AHRUMV5C1O0TD, Female, 24, IN, 3, Yes, Green

ABC_2013_04_20.txt/A2UVS1PDM9QM4Z, Female, 25, IN, 3, default, Green

ABC_2013_04_20.txt/A1WUZOLVPEXOLE, Male, 32, IL, 3, Yes, Democratic

ABC_2013_04_20.txt/A1TQ7UQSSQP7BD, Male, 26, IN, 6, Yes, Republican

ABC_2013_04_20.txt/A1FFLQ2D4WTF7H, Female, 31, CA, 2, Yes, Democratic

ABC_2013_04_21.txt/A3BPT73NGS3Y8I, Male, 26, PA, 7, Yes, Independent

